Created as New Dataset;Sample 052 By Administrator Date donderdag, februari 26 2026
cm-1;%T
3239,00;98,80
3238,00;98,69
3237,00;98,77
3236,00;98,62
3235,00;98,92
3234,00;98,87
3233,00;98,79
3232,00;98,86
3231,00;98,60
3230,00;98,65
3229,00;98,78
3228,00;98,67
3227,00;98,61
3226,00;98,92
3225,00;98,86
3224,00;98,79
3223,00;98,99
3222,00;99,01
3221,00;98,54
3220,00;98,59
3219,00;98,76
3218,00;98,75
3217,00;98,70
3216,00;98,73
3215,00;98,64
3214,00;98,84
3213,00;98,81
3212,00;98,78
3211,00;98,81
3210,00;98,83
3209,00;98,63
3208,00;98,58
3207,00;98,55
3206,00;98,79
3205,00;99,11
3204,00;98,80
3203,00;98,81
3202,00;98,84
3201,00;99,04
3200,00;98,90
3199,00;98,76
3198,00;98,78
3197,00;98,85
3196,00;98,85
3195,00;98,81
3194,00;99,00
3193,00;98,56
3192,00;98,64
3191,00;98,85
3190,00;98,50
3189,00;98,88
3188,00;99,03
3187,00;98,93
3186,00;98,86
3185,00;98,89
3184,00;98,68
3183,00;98,85
3182,00;98,70
3181,00;98,98
3180,00;98,80
3179,00;98,87
3178,00;98,22
3177,00;98,55
3176,00;98,84
3175,00;98,99
3174,00;99,01
3173,00;98,68
3172,00;98,73
3171,00;98,62
3170,00;98,86
3169,00;98,63
3168,00;98,71
3167,00;98,72
3166,00;98,79
3165,00;99,01
3164,00;98,88
3163,00;98,96
3162,00;98,95
3161,00;98,89
3160,00;99,08
3159,00;99,11
3158,00;98,68
3157,00;98,97
3156,00;98,73
3155,00;98,99
3154,00;98,98
3153,00;98,69
3152,00;98,63
3151,00;98,69
3150,00;98,79
3149,00;98,70
3148,00;98,71
3147,00;98,73
3146,00;98,86
3145,00;98,77
3144,00;99,17
3143,00;98,67
3142,00;99,00
3141,00;98,73
3140,00;98,76
3139,00;98,74
3138,00;98,61
3137,00;98,81
3136,00;98,87
3135,00;98,86
3134,00;98,78
3133,00;99,08
3132,00;98,82
3131,00;98,95
3130,00;98,84
3129,00;98,81
3128,00;98,87
3127,00;98,71
3126,00;98,65
3125,00;98,87
3124,00;98,72
3123,00;98,76
3122,00;98,94
3121,00;98,64
3120,00;98,79
3119,00;99,17
3118,00;98,94
3117,00;98,68
3116,00;98,99
3115,00;98,88
3114,00;98,93
3113,00;98,76
3112,00;98,80
3111,00;98,85
3110,00;98,95
3109,00;98,67
3108,00;98,58
3107,00;98,59
3106,00;98,66
3105,00;98,62
3104,00;98,75
3103,00;98,91
3102,00;98,82
3101,00;98,82
3100,00;98,92
3099,00;99,06
3098,00;98,66
3097,00;98,66
3096,00;98,79
3095,00;99,06
3094,00;98,87
3093,00;99,04
3092,00;98,75
3091,00;98,63
3090,00;98,97
3089,00;98,68
3088,00;98,92
3087,00;98,57
3086,00;98,61
3085,00;98,83
3084,00;99,01
3083,00;98,98
3082,00;98,79
3081,00;98,93
3080,00;98,74
3079,00;99,15
3078,00;99,25
3077,00;98,91
3076,00;98,93
3075,00;98,75
3074,00;99,11
3073,00;98,87
3072,00;98,56
3071,00;99,06
3070,00;98,70
3069,00;98,74
3068,00;98,98
3067,00;98,96
3066,00;98,84
3065,00;98,74
3064,00;98,98
3063,00;98,81
3062,00;98,97
3061,00;99,00
3060,00;98,77
3059,00;98,92
3058,00;98,66
3057,00;99,11
3056,00;98,76
3055,00;98,95
3054,00;98,77
3053,00;98,82
3052,00;99,02
3051,00;98,86
3050,00;98,84
3049,00;98,97
3048,00;98,97
3047,00;98,79
3046,00;98,81
3045,00;99,01
3044,00;98,90
3043,00;98,93
3042,00;98,88
3041,00;99,20
3040,00;98,84
3039,00;98,91
3038,00;98,81
3037,00;99,07
3036,00;98,88
3035,00;99,02
3034,00;98,78
3033,00;98,92
3032,00;98,93
3031,00;99,03
3030,00;99,08
3029,00;98,83
3028,00;98,88
3027,00;98,73
3026,00;98,71
3025,00;98,85
3024,00;99,01
3023,00;98,76
3022,00;98,78
3021,00;99,03
3020,00;98,95
3019,00;98,75
3018,00;99,12
3017,00;98,98
3016,00;98,78
3015,00;99,11
3014,00;99,07
3013,00;98,89
3012,00;98,93
3011,00;98,98
3010,00;98,90
3009,00;99,02
3008,00;98,68
3007,00;98,86
3006,00;99,02
3005,00;99,05
3004,00;98,81
3003,00;98,87
3002,00;98,89
3001,00;98,94
3000,00;98,99
2999,00;98,90
2998,00;98,81
2997,00;98,94
2996,00;99,06
2995,00;98,97
2994,00;99,02
2993,00;98,82
2992,00;98,77
2991,00;98,98
2990,00;98,95
2989,00;98,93
2988,00;98,96
2987,00;98,98
2986,00;98,95
2985,00;99,25
2984,00;98,84
2983,00;99,06
2982,00;98,89
2981,00;98,68
2980,00;98,89
2979,00;98,75
2978,00;99,10
2977,00;98,88
2976,00;98,97
2975,00;98,86
2974,00;98,80
2973,00;99,06
2972,00;98,64
2971,00;98,88
2970,00;99,05
2969,00;98,83
2968,00;98,82
2967,00;98,89
2966,00;98,75
2965,00;98,98
2964,00;98,96
2963,00;98,77
2962,00;99,00
2961,00;98,87
2960,00;99,10
2959,00;98,89
2958,00;99,00
2957,00;98,99
2956,00;98,99
2955,00;99,01
2954,00;98,78
2953,00;98,90
2952,00;98,86
2951,00;98,95
2950,00;99,13
2949,00;99,00
2948,00;98,90
2947,00;99,11
2946,00;98,81
2945,00;99,06
2944,00;99,04
2943,00;99,05
2942,00;98,99
2941,00;98,97
2940,00;98,94
2939,00;98,93
2938,00;98,69
2937,00;98,93
2936,00;99,00
2935,00;99,09
2934,00;98,95
2933,00;99,18
2932,00;99,00
2931,00;99,15
2930,00;98,89
2929,00;98,91
2928,00;98,85
2927,00;99,17
2926,00;98,93
2925,00;98,96
2924,00;99,14
2923,00;98,95
2922,00;98,83
