Created as New Dataset;Sample 058 By Administrator Date donderdag, februari 26 2026
cm-1;%T
2827,00;-93,42
2826,00;-108,10
2825,00;-118,54
2824,00;-123,97
2823,00;-124,22
2822,00;-119,57
2821,00;-109,91
2820,00;-95,52
2819,00;-77,38
2818,00;-55,94
2817,00;-32,15
2816,00;-7,18
2815,00;18,27
2814,00;43,00
2813,00;65,75
2812,00;85,79
2811,00;102,53
2810,00;114,80
2809,00;122,45
2808,00;124,87
2807,00;122,21
2806,00;114,62
2805,00;102,25
2804,00;85,65
2803,00;65,32
2802,00;42,55
2801,00;17,89
2800,00;-7,49
2799,00;-32,62
2798,00;-56,34
2797,00;-77,69
2796,00;-96,06
2795,00;-110,22
2794,00;-119,68
2793,00;-124,37
2792,00;-123,93
2791,00;-118,22
2790,00;-107,66
2789,00;-92,91
2788,00;-74,37
2787,00;-52,67
2786,00;-28,65
2785,00;-3,48
2784,00;21,83
2783,00;46,37
2782,00;68,84
2781,00;88,26
2780,00;104,35
2779,00;116,01
2778,00;123,03
2777,00;124,63
2776,00;121,61
2775,00;112,97
2774,00;99,85
2773,00;82,64
2772,00;62,31
2771,00;39,04
2770,00;14,17
2769,00;-11,24
2768,00;-36,06
2767,00;-59,42
2766,00;-80,41
2765,00;-98,21
2764,00;-111,83
2763,00;-120,41
2762,00;-124,70
2761,00;-123,54
2760,00;-117,19
2759,00;-106,02
2758,00;-90,76
2757,00;-71,37
2756,00;-49,07
2755,00;-24,95
2754,00;0,23
2753,00;25,49
2752,00;49,82
2751,00;71,88
2750,00;91,05
2749,00;106,43
2748,00;117,40
2747,00;123,74
2746,00;124,84
2745,00;120,64
2744,00;111,54
2743,00;97,70
2742,00;79,98
2741,00;59,02
2740,00;35,56
2739,00;10,59
2738,00;-14,79
2737,00;-39,55
2736,00;-62,57
2735,00;-83,17
2734,00;-100,23
2733,00;-113,10
2732,00;-121,48
2731,00;-124,81
2730,00;-122,83
2729,00;-115,87
2728,00;-104,17
2727,00;-88,17
2726,00;-68,31
2725,00;-45,86
2724,00;-21,29
2723,00;3,95
2722,00;29,12
2721,00;53,06
2720,00;74,68
2719,00;93,43
2718,00;108,28
2717,00;118,51
2716,00;123,94
2715,00;124,23
2714,00;119,41
2713,00;109,82
2712,00;95,42
2711,00;77,17
2710,00;55,73
2709,00;32,18
2708,00;6,88
2707,00;-18,38
2706,00;-42,88
2705,00;-65,90
2704,00;-85,93
2703,00;-102,32
2702,00;-114,87
2701,00;-122,23
2700,00;-124,67
2699,00;-122,22
2698,00;-114,34
2697,00;-102,09
2696,00;-85,57
2695,00;-65,16
2694,00;-42,43
2693,00;-17,85
2692,00;7,42
2691,00;32,70
2690,00;56,41
2689,00;77,51
2688,00;95,87
2687,00;109,99
2686,00;119,66
2685,00;124,29
2684,00;123,95
2683,00;118,36
2682,00;107,84
2681,00;92,89
2680,00;74,22
2679,00;52,54
2678,00;28,43
2677,00;3,19
2676,00;-22,01
2675,00;-46,37
2674,00;-69,06
2673,00;-88,67
2672,00;-104,23
2671,00;-115,90
2670,00;-123,03
2669,00;-124,84
2668,00;-121,22
2667,00;-112,85
2666,00;-99,89
2665,00;-82,73
2664,00;-61,99
2663,00;-38,61
2662,00;-13,99
2661,00;11,52
2660,00;36,57
2659,00;59,99
2658,00;80,88
2657,00;98,36
2656,00;111,94
2655,00;120,70
2654,00;124,51
2653,00;123,00
2652,00;116,92
2651,00;105,66
2650,00;89,96
2649,00;70,74
2648,00;48,51
2647,00;24,30
2646,00;-1,12
2645,00;-26,32
2644,00;-50,29
2643,00;-72,19
2642,00;-91,65
2641,00;-106,64
2640,00;-117,72
2639,00;-123,62
2638,00;-124,41
2637,00;-120,35
2636,00;-111,08
2635,00;-97,44
2634,00;-79,36
2633,00;-58,04
2632,00;-34,72
2631,00;-9,71
2630,00;15,57
2629,00;40,29
2628,00;63,43
2627,00;83,82
2626,00;100,51
2625,00;113,40
2624,00;121,76
2623,00;124,58
2622,00;122,45
2621,00;115,46
2620,00;103,65
2619,00;87,49
2618,00;67,79
2617,00;45,05
2616,00;20,59
2615,00;-4,50
2614,00;-29,68
2613,00;-53,70
2612,00;-75,14
2611,00;-93,82
2610,00;-108,36
2609,00;-118,59
2608,00;-124,01
2607,00;-124,27
2606,00;-119,41
2605,00;-109,45
2604,00;-94,97
2603,00;-76,44
2602,00;-55,13
2601,00;-31,50
2600,00;-6,45
2599,00;19,03
2598,00;43,33
2597,00;65,92
2596,00;86,16
2595,00;102,58
2594,00;115,16
2593,00;122,32
2592,00;124,77
2591,00;121,67
2590,00;114,50
2589,00;102,05
2588,00;85,21
2587,00;64,76
2586,00;42,11
2585,00;17,42
2584,00;-7,86
2583,00;-32,79
2582,00;-56,84
2581,00;-78,11
2580,00;-96,20
2579,00;-110,19
2578,00;-119,77
2577,00;-124,39
2576,00;-123,48
2575,00;-118,18
2574,00;-107,86
2573,00;-93,00
2572,00;-74,02
2571,00;-52,21
2570,00;-28,19
2569,00;-3,02
2568,00;22,44
2567,00;46,68
2566,00;69,14
2565,00;88,78
2564,00;104,51
2563,00;116,16
2562,00;122,87
2561,00;124,86
2560,00;121,10
2559,00;112,85
2558,00;100,01
2557,00;82,50
2556,00;62,28
2555,00;38,88
2554,00;14,03
2553,00;-11,15
2552,00;-36,05
2551,00;-59,63
2550,00;-80,61
2549,00;-98,37
2548,00;-111,50
2547,00;-120,55
2546,00;-124,62
2545,00;-123,13
2544,00;-116,99
